[2025-01-13 00:24:12,857][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-13 00:24:34,263][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-13 00:24:37,180][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-13 00:24:40,565][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-13 00:24:49,005][root][INFO] - Epoch 0, EarlyStopper reset counter
[2025-01-13 00:24:59,545][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-13 00:25:05,570][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-13 00:25:08,398][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-13 00:25:16,847][root][INFO] - Epoch 1, EarlyStopper reset counter
[2025-01-13 00:25:26,099][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-13 00:25:33,620][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-13 00:25:35,205][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-13 00:25:45,175][root][INFO] - Epoch 2, EarlyStopper reset counter
[2025-01-13 00:25:51,678][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-13 00:26:01,614][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-13 00:26:02,096][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-13 00:26:12,427][root][INFO] - Epoch 3, EarlyStopper reset counter
[2025-01-13 00:26:17,093][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-13 00:26:28,929][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-13 00:26:29,482][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-13 00:26:39,722][root][INFO] - Epoch 4, EarlyStopper reset counter
[2025-01-13 00:26:43,346][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-13 00:26:56,597][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-13 00:26:56,969][root][INFO] - Epoch 6, EarlyStopper reset counter
[2025-01-13 00:27:07,790][root][INFO] - Epoch 5, EarlyStopper reset counter
[2025-01-13 00:27:09,565][root][INFO] - Epoch 6, EarlyStopper reset counter
[2025-01-13 00:27:23,073][root][INFO] - Epoch 6, EarlyStopper reset counter
[2025-01-13 00:27:23,592][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-13 00:27:34,911][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-13 00:27:36,094][root][INFO] - Epoch 6, EarlyStopper reset counter
[2025-01-13 00:27:50,480][root][INFO] - Epoch 8, EarlyStopper reset counter
[2025-01-13 00:27:51,305][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-13 00:28:01,197][root][INFO] - Epoch 8, EarlyStopper reset counter
[2025-01-13 00:28:04,584][root][INFO] - Epoch 7, EarlyStopper reset counter
[2025-01-13 00:28:17,299][root][INFO] - Epoch 9, EarlyStopper reset counter
[2025-01-13 00:28:18,554][root][INFO] - Epoch 8, EarlyStopper reset counter
[2025-01-13 00:28:26,526][root][INFO] - Epoch 9, EarlyStopper reset counter
[2025-01-13 00:28:31,763][root][INFO] - Epoch 8, EarlyStopper reset counter
[2025-01-13 00:28:43,449][root][INFO] - Epoch 10, EarlyStopper reset counter
[2025-01-13 00:28:46,024][root][INFO] - Epoch 9, EarlyStopper reset counter
[2025-01-13 00:28:51,420][root][INFO] - Epoch 10, EarlyStopper reset counter
[2025-01-13 00:28:58,779][root][INFO] - Epoch 9, EarlyStopper reset counter
[2025-01-13 00:29:10,334][root][INFO] - Epoch 11, EarlyStopper reset counter
[2025-01-13 00:29:13,673][root][INFO] - Epoch 10, EarlyStopper reset counter
[2025-01-13 00:29:16,437][root][INFO] - Epoch 11, EarlyStopper reset counter
[2025-01-13 00:29:25,777][root][INFO] - Epoch 10, EarlyStopper reset counter
[2025-01-13 00:29:37,450][root][INFO] - Epoch 12, EarlyStopper reset counter
[2025-01-13 00:29:40,262][root][INFO] - Epoch 11, EarlyStopper reset counter
[2025-01-13 00:29:41,146][root][INFO] - Epoch 12, EarlyStopper counter: 1/10
[2025-01-13 00:29:53,065][root][INFO] - Epoch 11, EarlyStopper reset counter
[2025-01-13 00:30:04,755][root][INFO] - Epoch 13, EarlyStopper reset counter
[2025-01-13 00:30:06,721][root][INFO] - Epoch 13, EarlyStopper reset counter
[2025-01-13 00:30:06,823][root][INFO] - Epoch 12, EarlyStopper reset counter
[2025-01-13 00:30:20,248][root][INFO] - Epoch 12, EarlyStopper reset counter
[2025-01-13 00:30:31,060][root][INFO] - Epoch 14, EarlyStopper reset counter
[2025-01-13 00:30:31,770][root][INFO] - Epoch 14, EarlyStopper reset counter
[2025-01-13 00:30:34,719][root][INFO] - Epoch 13, EarlyStopper reset counter
[2025-01-13 00:30:48,382][root][INFO] - Epoch 13, EarlyStopper reset counter
[2025-01-13 00:30:57,469][root][INFO] - Epoch 15, EarlyStopper reset counter
[2025-01-13 00:30:58,236][root][INFO] - Epoch 15, EarlyStopper reset counter
[2025-01-13 00:31:02,551][root][INFO] - Epoch 14, EarlyStopper reset counter
[2025-01-13 00:31:15,977][root][INFO] - Epoch 14, EarlyStopper reset counter
